,Unnamed: 0,brand,year,price_in_euro,power_ps
59501,181860,seat,2019,14550,80
59502,181861,seat,2019,13990,60
59503,181862,seat,2019,20930,116
59504,181863,seat,2019,11990,60
59505,181865,seat,2019,21290,150
59506,181866,seat,2019,12990,60
59507,181867,seat,2019,25965,95
59508,181868,seat,2019,13350,86
59509,181869,seat,2019,19980,150
59510,181870,seat,2019,31980,150
59511,181871,seat,2019,27990,190
59512,181872,seat,2019,18780,116
59513,181873,seat,2019,20890,116
59514,181874,seat,2019,12990,80
59515,181875,seat,2019,20890,116
59516,181876,seat,2019,27750,150
59517,181877,seat,2019,13744,116
59518,181878,seat,2019,23320,150
59519,181879,seat,2019,23950,116
59520,181880,seat,2019,12990,80
59521,181881,seat,2019,17980,95
59522,181882,seat,2019,15990,95
59523,181883,seat,2019,19480,116
59524,181884,seat,2019,16180,95
59525,181885,seat,2019,22990,150
59526,181886,seat,2019,17990,95
59527,181887,seat,2019,18780,116
59528,181888,seat,2019,15440,116
59529,181889,seat,2019,18990,150
59530,181890,seat,2019,19790,150
59531,181891,seat,2019,19790,150
59532,181892,seat,2019,27320,150
59533,181893,seat,2019,26990,290
59534,181894,seat,2019,28670,300
59535,181895,seat,2019,18350,116
59536,181896,seat,2019,15990,116
59537,181897,seat,2019,26990,190
59538,181898,seat,2019,14990,116
59539,181899,seat,2019,32195,190
59540,181902,seat,2019,31979,300
59541,181903,seat,2019,27990,190
59542,181904,seat,2019,15490,116
59543,181905,seat,2019,30743,150
59544,181907,seat,2019,27450,190
59545,181908,seat,2019,17180,95
59546,181910,seat,2019,28090,150
59547,181911,seat,2019,19950,150
59548,181912,seat,2019,25390,150
59549,181913,seat,2019,18990,116
59550,181914,seat,2019,34480,177
59551,181915,seat,2019,29980,177
59552,181916,seat,2019,31995,190
59553,181917,seat,2019,25990,150
59554,181920,seat,2019,30749,177
59555,181921,seat,2019,27195,150
59556,181922,seat,2019,20450,131
59557,181923,seat,2019,24749,150
59558,181924,seat,2019,13950,80
59559,181925,seat,2019,34900,150
59560,181926,seat,2019,17880,131
59561,181927,seat,2019,15990,116
59562,181928,seat,2019,23480,150
59563,181929,seat,2019,15490,95
59564,181930,seat,2019,22990,150
59565,181931,seat,2019,18480,116
59566,181932,seat,2019,22980,150
59567,181933,seat,2019,33999,190
59568,181934,seat,2019,17800,95
59569,181936,seat,2019,16850,95
59570,181937,seat,2019,16950,116
59571,181938,seat,2019,17180,131
59572,181939,seat,2019,30990,190
59573,181940,seat,2019,20860,150
59574,181941,seat,2019,18980,116
59575,181942,seat,2019,24990,150
59576,181943,seat,2019,18990,116
59577,181944,seat,2019,17190,95
59578,181945,seat,2019,25180,150
59579,181946,seat,2019,19190,116
59580,181947,seat,2019,27980,150
59581,181948,seat,2019,27980,150
59582,181949,seat,2019,18888,150
59583,181950,seat,2019,17500,116
59584,181951,seat,2019,18990,150
59585,181952,seat,2019,31500,150
59586,181953,seat,2019,18770,116
59587,181954,seat,2019,19999,131
59588,181955,seat,2019,13480,90
59589,181956,seat,2019,22990,150
59590,181957,seat,2019,20950,116
59591,181958,seat,2019,21900,150
59592,181959,seat,2019,19200,116
59593,181960,seat,2019,20790,150
59594,181961,seat,2019,23900,150
59595,181962,seat,2019,24500,290
59596,181963,seat,2019,18200,150
59597,181964,seat,2019,29980,300
59598,181965,seat,2019,15500,116
59599,181967,seat,2019,28800,290
59600,181968,seat,2019,31700,190
59601,181969,seat,2019,25800,150
59602,181970,seat,2019,34900,300
59603,181971,seat,2019,29990,290
59604,181972,seat,2019,16850,116
59605,181973,seat,2019,29990,300
59606,181974,seat,2019,25500,290
59607,181975,seat,2019,15995,116
59608,181976,seat,2019,24500,150
59609,181978,seat,2019,23890,190
59610,181979,seat,2019,32990,190
59611,181980,seat,2019,28470,300
59612,181981,seat,2019,29990,290
59613,181982,seat,2019,19890,150
