,Unnamed: 0,brand,year,price_in_euro,power_ps
79086,238318,volkswagen,2019,31950,150
79087,238319,volkswagen,2019,24880,116
79088,238320,volkswagen,2019,44490,150
79089,238321,volkswagen,2019,30990,150
79090,238322,volkswagen,2019,27860,258
79091,238323,volkswagen,2019,20995,190
79092,238325,volkswagen,2019,24250,150
79093,238326,volkswagen,2019,16995,150
79094,238327,volkswagen,2019,20988,116
79095,238329,volkswagen,2019,25799,150
79096,238330,volkswagen,2019,24145,245
79097,238331,volkswagen,2019,26490,150
79098,238332,volkswagen,2019,53443,286
79099,238333,volkswagen,2019,15399,116
79100,238335,volkswagen,2019,18790,95
79101,238336,volkswagen,2019,19490,116
79102,238337,volkswagen,2019,22980,190
79103,238338,volkswagen,2019,20900,190
79104,238339,volkswagen,2019,25990,177
79105,238340,volkswagen,2019,19490,150
79106,238342,volkswagen,2019,18830,116
79107,238343,volkswagen,2019,47950,286
79108,238344,volkswagen,2019,27930,150
79109,238345,volkswagen,2019,22490,245
79110,238346,volkswagen,2019,22980,150
79111,238347,volkswagen,2019,26850,245
79112,238349,volkswagen,2019,15450,116
79113,238350,volkswagen,2019,48850,199
79114,238351,volkswagen,2019,26980,190
79115,238353,volkswagen,2019,25395,150
79116,238354,volkswagen,2019,25180,150
79117,238355,volkswagen,2019,27480,190
79118,238356,volkswagen,2019,19900,150
79119,238357,volkswagen,2019,32000,300
79120,238358,volkswagen,2019,41990,150
79121,238359,volkswagen,2019,26400,245
79122,238360,volkswagen,2019,20485,150
79123,238361,volkswagen,2019,21777,150
79124,238362,volkswagen,2019,23849,150
79125,238363,volkswagen,2019,23290,122
79126,238364,volkswagen,2019,74900,177
79127,238365,volkswagen,2019,17790,95
79128,238366,volkswagen,2019,21950,150
79129,238367,volkswagen,2019,29460,150
79130,238368,volkswagen,2019,28990,131
79131,238369,volkswagen,2019,24949,190
79132,238370,volkswagen,2019,15790,95
79133,238371,volkswagen,2019,23333,150
79134,238372,volkswagen,2019,20980,116
79135,238373,volkswagen,2019,49990,199
79136,238374,volkswagen,2019,24990,150
79137,238375,volkswagen,2019,26290,131
79138,238376,volkswagen,2019,33100,190
79139,238378,volkswagen,2019,32350,177
79140,238379,volkswagen,2019,18796,150
79141,238380,volkswagen,2019,24680,131
79142,238381,volkswagen,2019,30870,190
79143,238382,volkswagen,2019,17990,95
79144,238383,volkswagen,2019,21179,150
79145,238385,volkswagen,2019,19480,150
79146,238386,volkswagen,2019,28700,150
79147,238387,volkswagen,2019,31020,150
79148,238388,volkswagen,2019,28777,184
79149,238389,volkswagen,2019,26690,150
79150,238390,volkswagen,2019,26330,150
79151,238391,volkswagen,2019,24800,102
79152,238392,volkswagen,2019,25388,150
79153,238393,volkswagen,2019,19900,116
79154,238394,volkswagen,2019,19660,116
79155,238395,volkswagen,2019,34860,190
79156,238396,volkswagen,2019,25530,190
79157,238397,volkswagen,2019,24424,150
79158,238398,volkswagen,2019,19690,150
79159,238399,volkswagen,2019,22770,150
79160,238400,volkswagen,2019,19490,150
79161,238401,volkswagen,2019,24980,150
79162,238402,volkswagen,2019,26930,150
79163,238403,volkswagen,2019,24950,102
79164,238406,volkswagen,2019,25990,131
79165,238407,volkswagen,2019,28749,190
79166,238408,volkswagen,2019,20979,116
79167,238409,volkswagen,2019,19980,116
79168,238410,volkswagen,2019,29990,150
79169,238412,volkswagen,2019,31950,150
79170,238413,volkswagen,2019,24990,150
79171,238415,volkswagen,2019,21990,116
79172,238416,volkswagen,2019,26749,150
79173,238417,volkswagen,2019,18990,116
79174,238418,volkswagen,2019,22980,116
79175,238419,volkswagen,2019,26089,150
79176,238420,volkswagen,2019,24380,102
79177,238421,volkswagen,2019,25889,150
79178,238422,volkswagen,2019,32150,150
79179,238423,volkswagen,2019,24280,150
79180,238424,volkswagen,2019,30820,150
79181,238425,volkswagen,2019,18490,150
79182,238426,volkswagen,2019,57950,286
79183,238427,volkswagen,2019,39500,131
79184,238428,volkswagen,2019,47900,150
79185,238429,volkswagen,2019,27950,190
79186,238430,volkswagen,2019,29950,150
79187,238431,volkswagen,2019,26880,150
79188,238432,volkswagen,2019,24888,150
79189,238433,volkswagen,2019,21420,116
79190,238434,volkswagen,2019,26888,190
79191,238435,volkswagen,2019,30900,150
79192,238436,volkswagen,2019,29990,190
79193,238437,volkswagen,2019,29000,102
79194,238438,volkswagen,2019,22490,150
79195,238439,volkswagen,2019,22700,150
79196,238441,volkswagen,2019,21999,150
79197,238442,volkswagen,2019,24279,150
79198,238443,volkswagen,2019,25670,150
79199,238444,volkswagen,2019,22990,150
79200,238445,volkswagen,2019,57980,286
79201,238446,volkswagen,2019,52900,199
79202,238447,volkswagen,2019,26900,150
79203,238448,volkswagen,2019,24990,150
79204,238449,volkswagen,2019,32290,239
79205,238450,volkswagen,2019,47800,150
79206,238451,volkswagen,2019,28950,150
79207,238452,volkswagen,2019,25000,150
79208,238453,volkswagen,2019,21990,150
79209,238454,volkswagen,2019,24990,150
79210,238455,volkswagen,2019,22880,150
79211,238457,volkswagen,2019,19840,116
79212,238458,volkswagen,2019,43490,286
79213,238460,volkswagen,2019,20850,150
79214,238461,volkswagen,2019,44499,204
79215,238462,volkswagen,2019,28350,150
79216,238463,volkswagen,2019,27455,190
79217,238464,volkswagen,2019,19990,116
79218,238465,volkswagen,2019,25470,190
79219,238466,volkswagen,2019,10370,60
79220,238467,volkswagen,2019,10570,60
79221,238470,volkswagen,2019,37970,190
79222,238471,volkswagen,2019,23290,150
79223,238472,volkswagen,2019,21698,150
79224,238473,volkswagen,2019,20300,150
79225,238474,volkswagen,2019,20700,116
79226,238475,volkswagen,2019,39890,150
79227,238476,volkswagen,2019,49999,199
79228,238477,volkswagen,2019,37449,300
79229,238478,volkswagen,2019,19930,116
79230,238479,volkswagen,2019,10370,60
79231,238480,volkswagen,2019,29000,150
79232,238481,volkswagen,2019,10470,60
79233,238482,volkswagen,2019,18990,116
79234,238484,volkswagen,2019,19900,116
79235,238485,volkswagen,2019,22389,102
79236,238486,volkswagen,2019,25555,131
79237,238487,volkswagen,2019,18490,75
79238,238488,volkswagen,2019,63950,150
79239,238489,volkswagen,2019,21190,116
79240,238490,volkswagen,2019,13970,75
79241,238491,volkswagen,2019,24755,150
79242,238492,volkswagen,2019,28930,150
79243,238493,volkswagen,2019,28590,150
79244,238494,volkswagen,2019,24555,150
79245,238495,volkswagen,2019,15450,102
79246,238496,volkswagen,2019,7999,60
79247,238497,volkswagen,2019,7999,60
79248,238498,volkswagen,2019,54800,199
79249,238499,volkswagen,2019,21490,116
79250,238500,volkswagen,2019,26620,150
79251,238501,volkswagen,2019,19450,116
79252,238502,volkswagen,2019,26820,150
79253,238503,volkswagen,2019,20990,116
79254,238504,volkswagen,2019,14980,102
79255,238506,volkswagen,2019,21888,116
79256,238508,volkswagen,2019,17969,150
79257,238512,volkswagen,2019,55000,199
79258,238513,volkswagen,2019,6900,116
79259,238514,volkswagen,2019,29948,300
79260,238515,volkswagen,2019,23900,150
79261,238516,volkswagen,2019,64800,150
79262,238517,volkswagen,2019,10499,60
79263,238519,volkswagen,2019,30880,150
