,Unnamed: 0,brand,year,price_in_euro,power_ps
66597,195741,skoda,2019,26500,190
66598,195743,skoda,2019,13250,95
66599,195745,skoda,2019,15990,95
66600,195746,skoda,2019,13810,75
66601,195748,skoda,2019,21450,116
66602,195749,skoda,2019,25500,150
66603,195750,skoda,2019,27399,190
66604,195751,skoda,2019,29790,150
66605,195752,skoda,2019,29790,150
66606,195753,skoda,2019,31790,190
66607,195754,skoda,2019,24990,184
66608,195756,skoda,2019,32480,190
66609,195759,skoda,2019,39999,150
66610,195760,skoda,2019,13810,75
66611,195761,skoda,2019,23450,150
66612,195762,skoda,2019,32800,150
66613,195763,skoda,2019,17290,150
66614,195765,skoda,2019,21480,150
66615,195766,skoda,2019,29490,190
66616,195767,skoda,2019,18950,150
66617,195768,skoda,2019,27990,150
66618,195769,skoda,2019,12990,75
66619,195770,skoda,2019,22400,150
66620,195771,skoda,2019,29900,190
66621,195772,skoda,2019,12390,60
66622,195774,skoda,2019,34770,190
66623,195775,skoda,2019,22890,190
66624,195777,skoda,2019,27980,190
66625,195779,skoda,2019,24980,150
66626,195780,skoda,2019,24450,116
66627,195782,skoda,2019,33949,190
66628,195783,skoda,2019,15990,95
66629,195785,skoda,2019,21760,150
66630,195786,skoda,2019,32750,190
66631,195787,skoda,2019,28990,150
66632,195788,skoda,2019,26444,190
66633,195790,skoda,2019,32680,190
66634,195791,skoda,2019,12700,95
66635,195792,skoda,2019,23400,190
66636,195793,skoda,2019,15990,110
66637,195794,skoda,2019,15990,110
66638,195795,skoda,2019,27989,190
66639,195796,skoda,2019,31100,190
66640,195797,skoda,2019,10750,60
66641,195798,skoda,2019,9950,60
66642,195799,skoda,2019,10750,60
66643,195800,skoda,2019,10750,60
66644,195801,skoda,2019,8200,60
66645,195802,skoda,2019,10750,60
66646,195803,skoda,2019,39870,190
66647,195804,skoda,2019,15990,110
66648,195805,skoda,2019,19950,116
66649,195806,skoda,2019,31229,272
66650,195808,skoda,2019,23450,150
66651,195809,skoda,2019,18960,150
66652,195810,skoda,2019,29990,245
66653,195811,skoda,2019,25775,245
66654,195812,skoda,2019,35260,190
66655,195813,skoda,2019,24770,190
66656,195814,skoda,2019,27987,190
66657,195815,skoda,2019,19890,116
66658,195816,skoda,2019,25350,190
66659,195818,skoda,2019,14990,110
66660,195819,skoda,2019,38100,245
66661,195820,skoda,2019,26849,239
66662,195821,skoda,2019,24990,190
66663,195822,skoda,2019,12990,190
66664,195823,skoda,2019,25220,150
66665,195825,skoda,2019,34888,190
66666,195826,skoda,2019,34888,190
66667,195828,skoda,2019,38990,239
66668,195829,skoda,2019,23500,190
66669,195830,skoda,2019,33800,190
66670,195831,skoda,2019,27960,150
66671,195832,skoda,2019,20150,116
66672,195833,skoda,2019,27500,150
66673,195834,skoda,2019,29930,245
66674,195835,skoda,2019,16899,150
66675,195836,skoda,2019,35088,190
66676,195837,skoda,2019,23980,150
66677,195838,skoda,2019,25930,190
66678,195839,skoda,2019,33350,190
66679,195840,skoda,2019,29270,190
66680,195841,skoda,2019,36900,190
66681,195842,skoda,2019,30970,272
66682,195844,skoda,2019,37470,239
66683,195845,skoda,2019,31150,190
66684,195846,skoda,2019,23990,150
66685,195847,skoda,2019,23150,150
66686,195848,skoda,2019,39916,239
66687,195849,skoda,2019,24990,245
66688,195850,skoda,2019,18249,150
66689,195851,skoda,2019,21450,150
66690,195852,skoda,2019,29977,150
