,brand,model,color,registration_date,year,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km
1040,alfa-romeo,Alfa Romeo Giulia,grey,10/2022,2022,45890,200,Automatic,Petrol,6.0,15.0
1041,alfa-romeo,Alfa Romeo Stelvio,grey,09/2022,2022,52880,280,Automatic,Petrol,7.4,1000.0
1042,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,10.0
1043,alfa-romeo,Alfa Romeo Tonale,grey,10/2022,2022,42490,131,Automatic,Hybrid,6.2,100.0
1044,alfa-romeo,Alfa Romeo Giulia,grey,04/2022,2022,51250,280,Automatic,Petrol,8.2,15.0
1045,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,56900,280,Automatic,Hybrid,1.3,100.0
1046,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,25.0
1047,alfa-romeo,Alfa Romeo Stelvio,grey,06/2022,2022,53440,280,Automatic,Petrol,7.4,7500.0
1048,alfa-romeo,Alfa Romeo Tonale,grey,09/2022,2022,40495,131,Automatic,Petrol,6.0,766.0
1049,alfa-romeo,Alfa Romeo Stelvio,grey,01/2022,2022,58900,280,Automatic,Petrol,7.4,9000.0
1050,alfa-romeo,Alfa Romeo Stelvio,grey,06/2022,2022,51250,209,Automatic,Diesel,6.3,16699.0
1051,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,14.0
1052,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,44988,160,Automatic,Hybrid,6.5,10.0
1053,alfa-romeo,Alfa Romeo Tonale,grey,11/2022,2022,38900,131,Automatic,Diesel,6.3,2000.0
1054,alfa-romeo,Alfa Romeo Tonale,grey,09/2022,2022,41449,160,Automatic,Hybrid,5.2,99.0
1055,alfa-romeo,Alfa Romeo Tonale,grey,08/2022,2022,42990,131,Automatic,Petrol,6.1,12500.0
1056,alfa-romeo,Alfa Romeo Tonale,grey,11/2022,2022,47935,160,Automatic,Hybrid,5.9,501.0
1057,alfa-romeo,Alfa Romeo Stelvio,grey,08/2022,2022,55990,209,Automatic,Diesel,6.3,50.0
1058,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,42990,131,Automatic,Petrol,6.1,9850.0
1059,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,38950,131,Automatic,Hybrid,6.1,11300.0
1060,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,41900,131,Automatic,Hybrid,6.2,13100.0
1061,alfa-romeo,Alfa Romeo Stelvio,grey,06/2022,2022,54980,280,Automatic,Petrol,7.4,10.0
1062,alfa-romeo,Alfa Romeo Giulia,grey,06/2022,2022,50990,190,Automatic,Diesel,4.8,10.0
1063,alfa-romeo,Alfa Romeo Stelvio,grey,05/2022,2022,59990,280,Automatic,Petrol,7.1,10.0
1064,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,39498,131,Automatic,Hybrid,6.1,2500.0
1065,alfa-romeo,Alfa Romeo Tonale,grey,10/2022,2022,45990,160,Automatic,Petrol,6.0,150.0
1066,alfa-romeo,Alfa Romeo Stelvio,grey,07/2022,2022,53580,280,Automatic,Petrol,8.5,10.0
1067,alfa-romeo,Alfa Romeo Stelvio,grey,05/2022,2022,56200,280,Automatic,Petrol,7.4,8000.0
1068,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,36699,131,Automatic,Hybrid,5.0,5000.0
1069,alfa-romeo,Alfa Romeo Stelvio,grey,11/2022,2022,49950,201,Automatic,Petrol,9.2,66.0
1070,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,43490,131,Automatic,Hybrid,6.2,200.0
1071,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,40850,131,Automatic,Petrol,6.2,5.0
1072,alfa-romeo,Alfa Romeo Tonale,grey,06/2022,2022,43400,131,Automatic,Petrol,5.8,5900.0
1073,alfa-romeo,Alfa Romeo Tonale,grey,08/2022,2022,36699,131,Automatic,Hybrid,5.0,5.0
1074,alfa-romeo,Alfa Romeo Tonale,grey,09/2022,2022,42249,159,Automatic,Hybrid,5.9,10.0
1075,alfa-romeo,Alfa Romeo Stelvio,grey,06/2022,2022,85490,510,Automatic,Petrol,10.0,20.0
1076,alfa-romeo,Alfa Romeo Stelvio,grey,04/2022,2022,84490,510,Automatic,Petrol,10.0,20.0
1077,alfa-romeo,Alfa Romeo Stelvio,grey,07/2022,2022,80990,510,Automatic,Petrol,10.0,50.0
1078,alfa-romeo,Alfa Romeo Giulia,grey,06/2022,2022,83290,510,Automatic,Petrol,9.0,20.0
1079,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,50890,280,Automatic,Hybrid,1.4,2500.0
1080,alfa-romeo,Alfa Romeo Giulia,grey,06/2022,2022,43249,209,Automatic,Diesel,5.5,17800.0
1081,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,5.0
1082,alfa-romeo,Alfa Romeo Stelvio,grey,03/2022,2022,78899,510,Automatic,Petrol,11.8,25.0
1083,alfa-romeo,Alfa Romeo,grey,06/2022,2022,39900,131,Automatic,Petrol,6.2,18500.0
1084,alfa-romeo,Alfa Romeo Giulia,grey,09/2022,2022,47499,200,Automatic,Petrol,7.1,500.0
1085,alfa-romeo,Alfa Romeo Giulia,grey,01/2022,2022,57900,280,Automatic,Petrol,7.3,8500.0
1086,alfa-romeo,Alfa Romeo Giulia,grey,08/2022,2022,52990,280,Automatic,Petrol,8.0,50.0
1087,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,12.0
1088,alfa-romeo,Alfa Romeo Giulia,grey,02/2022,2022,54490,209,Automatic,Diesel,6.9,50.0
1089,alfa-romeo,Alfa Romeo Tonale,grey,10/2022,2022,43940,131,Automatic,Hybrid,6.2,200.0
1090,alfa-romeo,Alfa Romeo Stelvio,grey,11/2022,2022,54990,209,Automatic,Diesel,6.3,50.0
1091,alfa-romeo,Alfa Romeo Tonale,grey,12/2022,2022,29970,156,Automatic,Petrol,5.9,10.0
1092,alfa-romeo,Alfa Romeo Tonale,grey,10/2022,2022,43940,131,Automatic,Hybrid,6.2,100.0
